Provinsi,SD,SMP,SMA,PT
ACEH,99.82,97.89,81.82,33.94
SUMATERA UTARA,99.42,96.48,76.43,26.62
SUMATERA BARAT,99.43,96.17,82.62,34.71
RIAU,98.87,94.62,75.68,26.18
JAMBI,99.57,95.35,71.20,23.86
SUMATERA SELATAN,99.61,93.68,68.67,18.07
BENGKULU,99.70,96.96,78.37,28.93
LAMPUNG,99.63,94.32,69.31,19.72
KEP. BANGKA BELITUNG,99.25,92.03,66.35,13.81
KEP. RIAU,99.33,98.78,82.04,18.58
DKI JAKARTA,99.61,97.47,70.83,23.06
JAWA BARAT,99.54,93.41,65.82,20.37
JAWA TENGAH,99.58,95.41,67.95,21.59
DI YOGYAKARTA,99.84,99.62,87.20,49.95
JAWA TIMUR,99.46,96.69,70.54,22.67
BANTEN,99.43,95.59,67.00,20.74
BALI,99.35,97.55,81.98,25.36
NUSA TENGGARA BARAT,99.42,97.60,76.24,27.79
NUSA TENGGARA TIMUR,98.24,94.60,74.56,26.75
KALIMANTAN BARAT,98.39,92.12,67.16,24.75
KALIMANTAN TENGAH,99.49,93.25,66.12,22.72
KALIMANTAN SELATAN,99.48,92.21,67.91,21.89
KALIMANTAN TIMUR,99.54,98.18,80.81,28.88
KALIMANTAN UTARA,98.45,93.79,74.72,19.07
SULAWESI UTARA,99.36,94.89,72.57,22.82
SULAWESI TENGAH,98.00,92.08,73.96,25.57
SULAWESI SELATAN,99.12,92.85,70.09,31.48
SULAWESI TENGGARA,99.28,93.94,72.67,29.31
GORONTALO,98.71,91.01,69.12,28.98
SULAWESI BARAT,98.08,89.93,67.34,22.36
MALUKU,99.39,96.60,78.19,37.51
MALUKU UTARA,99.14,96.90,75.58,31.75
PAPUA BARAT,96.85,96.86,80.28,31.45
PAPUA,81.11,78.86,62.07,23.75
