Provinsi,SD,SMP,SMA,PT
ACEH,99.84,97.38,80.89,32.93
SUMATERA UTARA,99.26,96.06,75.78,24.82
SUMATERA BARAT,99.27,95.84,81.97,32.89
RIAU,98.67,94.36,75.30,24.48
JAMBI,99.46,94.88,70.41,22.11
SUMATERA SELATAN,99.47,93.36,67.84,16.87
BENGKULU,99.45,96.71,77.92,28.14
LAMPUNG,99.56,94.01,68.75,18.67
KEP. BANGKA BELITUNG,99.16,91.53,65.78,12.22
KEP. RIAU,99.12,98.56,81.57,17.40
DKI JAKARTA,99.47,96.69,70.23,22.52
JAWA BARAT,99.30,92.84,65.48,19.27
JAWA TENGAH,99.51,94.85,67.54,20.48
DI YOGYAKARTA,99.94,99.48,86.44,49.08
JAWA TIMUR,99.38,96.36,70.25,21.84
BANTEN,99.29,94.87,66.25,19.61
BALI,99.36,97.23,81.59,23.59
NUSA TENGGARA BARAT,99.11,97.27,75.68,26.73
NUSA TENGGARA TIMUR,97.99,94.26,73.96,26.22
KALIMANTAN BARAT,98.18,91.76,66.48,23.18
KALIMANTAN TENGAH,99.46,92.94,65.84,22.31
KALIMANTAN SELATAN,99.24,91.83,67.18,20.36
KALIMANTAN TIMUR,99.35,97.89,80.50,27.34
KALIMANTAN UTARA,-,-,-,-
SULAWESI UTARA,98.95,94.34,71.98,20.91
SULAWESI TENGAH,97.71,91.23,73.64,25.05
SULAWESI SELATAN,98.91,92.57,69.38,30.23
SULAWESI TENGGARA,99.11,93.53,72.25,28.78
GORONTALO,98.40,90.47,68.69,27.94
SULAWESI BARAT,97.91,89.26,66.97,21.53
MALUKU,99.19,96.35,77.48,36.44
MALUKU UTARA,98.89,96.24,74.83,30.85
PAPUA BARAT,96.65,96.28,79.87,29.66
PAPUA,80.69,78.07,61.63,22.48
