Provinsi,SD,SMP,SMA,PT
ACEH,99.90,97.71,81.43,33.07
SUMATERA UTARA,99.35,96.34,76.23,25.16
SUMATERA BARAT,99.44,95.98,82.53,33.13
RIAU,98.79,94.48,75.57,24.85
JAMBI,99.55,95.06,70.75,22.22
SUMATERA SELATAN,99.53,93.52,68.40,17.00
BENGKULU,99.65,96.83,78.16,28.37
LAMPUNG,99.62,94.24,69.04,18.81
KEP. BANGKA BELITUNG,99.22,91.82,66.17,12.73
KEP. RIAU,99.34,98.67,81.84,17.69
DKI JAKARTA,99.56,97.19,70.73,22.71
JAWA BARAT,99.57,93.19,65.72,19.40
JAWA TENGAH,99.56,95.30,67.66,20.57
DI YOGYAKARTA,99.89,99.68,86.78,49.17
JAWA TIMUR,99.45,96.53,70.44,21.95
BANTEN,99.41,95.29,66.73,19.68
BALI,99.41,97.41,81.69,23.75
NUSA TENGGARA BARAT,99.48,97.44,75.86,26.84
NUSA TENGGARA TIMUR,98.13,94.39,74.25,26.54
KALIMANTAN BARAT,98.27,91.91,66.83,23.32
KALIMANTAN TENGAH,99.54,93.13,66.00,22.47
KALIMANTAN SELATAN,99.43,91.91,67.49,20.53
KALIMANTAN TIMUR,99.63,97.92,80.68,27.55
KALIMANTAN UTARA,98.39,93.55,74.41,17.87
SULAWESI UTARA,99.33,94.59,72.22,21.31
SULAWESI TENGAH,98.02,91.80,73.80,25.13
SULAWESI SELATAN,99.03,92.66,69.66,30.64
SULAWESI TENGGARA,99.30,93.67,72.42,28.89
GORONTALO,98.69,90.75,69.03,28.38
SULAWESI BARAT,98.00,89.84,67.14,21.97
MALUKU,99.38,96.44,77.87,36.60
MALUKU UTARA,99.08,96.68,75.16,31.25
PAPUA BARAT,96.74,96.58,79.99,29.96
PAPUA,81.04,78.14,61.96,22.55
