Provinsi,SD,SMP,SMA,PT
ACEH,99.36,94.34,74.59,28.55
SUMATERA UTARA,98.60,90.83,69.86,17.27
SUMATERA BARAT,98.34,90.50,71.24,27.55
RIAU,98.13,88.01,66.55,15.81
JAMBI,98.70,91.11,59.71,15.22
SUMATERA SELATAN,98.11,88.75,58.66,13.91
BENGKULU,98.97,93.22,67.76,19.64
LAMPUNG,98.64,90.00,60.43,11.90
KEP. BANGKA BELITUNG,97.72,84.09,52.02,9.30
KEP. RIAU,98.44,94.93,70.94,10.14
DKI JAKARTA,99.04,94.07,61.87,18.02
JAWA BARAT,98.36,88.68,56.30,12.25
JAWA TENGAH,98.87,89.59,58.65,11.83
DI YOGYAKARTA,99.77,98.35,80.04,44.69
JAWA TIMUR,98.65,91.62,61.87,14.59
BANTEN,98.26,91.10,59.80,15.97
BALI,99.18,95.04,71.44,18.99
NUSA TENGGARA BARAT,98.18,91.25,61.07,17.82
NUSA TENGGARA TIMUR,96.15,88.62,61.92,17.92
KALIMANTAN BARAT,96.66,85.52,55.13,14.17
KALIMANTAN TENGAH,98.62,85.68,55.06,14.04
KALIMANTAN SELATAN,97.85,85.62,58.16,16.48
KALIMANTAN TIMUR,99.12,96.32,71.73,20.33
KALIMANTAN UTARA,-,-,-,-
SULAWESI UTARA,98.16,88.34,65.28,16.12
SULAWESI TENGAH,96.87,85.81,61.05,16.74
SULAWESI SELATAN,97.62,87.85,62.16,23.17
SULAWESI TENGGARA,97.57,88.25,65.04,23.62
GORONTALO,97.74,82.91,59.37,20.46
SULAWESI BARAT,96.19,82.17,56.80,14.65
MALUKU,98.27,94.76,68.33,28.98
MALUKU UTARA,98.31,90.83,69.01,21.79
PAPUA BARAT,95.59,91.13,65.04,20.03
PAPUA,75.45,69.07,50.01,13.86
