Provinsi,persentase
ACEH,99.44
SUMATERA UTARA,99.55
SUMATERA BARAT,99.67
RIAU,99.64
JAMBI,99.40
SUMATERA SELATAN,99.39
BENGKULU,99.18
LAMPUNG,99.10
KEP. BANGKA BELITUNG,97.98
KEP. RIAU,99.01
DKI JAKARTA,99.62
JAWA BARAT,99.62
JAWA TENGAH,97.40
DI YOGYAKARTA,98.39
JAWA TIMUR,96.06
BANTEN,98.40
BALI,96.04
NUSA TENGGARA BARAT,92.21
NUSA TENGGARA TIMUR,94.87
KALIMANTAN BARAT,95.28
KALIMANTAN TENGAH,99.47
KALIMANTAN SELATAN,99.41
KALIMANTAN TIMUR,99.19
KALIMANTAN UTARA,96.74
SULAWESI UTARA,99.88
SULAWESI TENGAH,98.90
SULAWESI SELATAN,95.31
SULAWESI TENGGARA,97.28
GORONTALO,99.36
SULAWESI BARAT,94.23
MALUKU,99.35
MALUKU UTARA,99.14
PAPUA BARAT,97.66
PAPUA,70.68
