Provinsi,SD,SMP,SMA,PT
ACEH,99.85,98.09,82.15,34.28
SUMATERA UTARA,99.49,96.60,76.76,26.80
SUMATERA BARAT,99.50,96.29,82.86,35.45
RIAU,98.98,94.73,76.52,27.28
JAMBI,99.59,95.89,71.54,24.12
SUMATERA SELATAN,99.63,94.01,69.05,19.17
BENGKULU,99.80,97.20,79.07,29.90
LAMPUNG,99.78,94.76,70.03,20.96
KEP. BANGKA BELITUNG,99.64,92.41,66.99,14.99
KEP. RIAU,99.32,99.08,82.80,19.13
DKI JAKARTA,99.67,97.64,71.50,24.60
JAWA BARAT,99.51,93.77,66.62,21.50
JAWA TENGAH,99.62,95.48,68.48,22.13
DI YOGYAKARTA,99.87,99.63,87.61,51.33
JAWA TIMUR,99.57,96.77,71.51,23.34
BANTEN,99.31,95.67,67.77,21.33
BALI,99.44,97.72,82.16,26.56
NUSA TENGGARA BARAT,99.43,97.69,76.61,28.52
NUSA TENGGARA TIMUR,98.27,94.76,74.65,27.80
KALIMANTAN BARAT,98.44,92.51,67.53,25.80
KALIMANTAN TENGAH,99.50,93.37,66.62,24.15
KALIMANTAN SELATAN,99.55,92.33,68.30,23.53
KALIMANTAN TIMUR,99.67,98.79,81.32,30.04
KALIMANTAN UTARA,98.34,96.04,75.12,20.72
SULAWESI UTARA,99.37,94.91,73.04,24.22
SULAWESI TENGAH,98.15,92.41,74.87,26.31
SULAWESI SELATAN,99.16,93.09,70.60,32.16
SULAWESI TENGGARA,99.32,94.08,72.94,30.03
GORONTALO,98.76,91.23,69.86,29.21
SULAWESI BARAT,98.10,89.88,68.03,23.49
MALUKU,99.72,96.86,79.08,38.20
MALUKU UTARA,99.19,97.24,76.06,32.10
PAPUA BARAT,97.27,96.92,80.60,31.92
PAPUA,81.80,79.09,63.35,24.57
